Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
別,,薛,入,方别,pjet (III),三,開,幫,仙,500.04,p-,-jet,D,pjet,bjät 3
侯,侯,侯,平,戸鉤,huw,一,開,匣,侯,212.05,h-,-uw,A,huw,Ɣəu
侯,,,,,,,,,,,,,,,Ɣəu
侯,,,,,,,,,,,,,,,Ɣəu
層,登,登,平,昨楞,dzong,一,開,從,登,201.34,dz-,-ong,A,dzong,"dzəŋ,tsəŋ"
匹,,質,入,譬吉,phjit (IV),三,開,滂,真,469.05,ph-,-jit,D,phjit,pʰjiet 4
匹,,,,,,,,,,,,,,,pʰjiet 4
頹,灰,灰,平,杜回,dwoj,一,合,定,灰,97.26,,,,,
江,江,江,平,古雙,kæwng,二,開,見,江,38.30,k-,-aewng,A,kaewng,kåŋ
瓊,清,清,平,渠營,gwjieng,三,合,群,清,193.05,,,,,
踴,,,,,,,,,,,,,,,
零,先,先,平,落賢,len,四,開,來,先,134.24,l-,-eng,A,leng,
零,青,青,平,郎丁,leng,四,開,來,青,196.15,,,,,
零,,徑,去,郎定,lengH,四,開,來,青,432.36,,,,,
等,,海,上,多改,tojX,一,開,端,咍,274.35,t-,-ong,B,tongX,təŋᴮ
等,,拯,上,多肯,tongX,一,開,端,蒸,321.01,,,,,təŋᴮ
城,清,清,平,是征,dzyieng,三,開,常（禪三）,清,191.29,dzy-,-jeng,A,dzyeng,
𥳌,,,,,,,,,,,,,,,
鬬,,,,,,,,,,,,,,,
邊,先,先,平,布玄,pen,四,開,幫,先,136.13,p-,-en,A,pen,pien
菊,,屋,入,居六,kjuwk,三,開,見,東,454.46,,,,,
爭,耕,耕,平,側莖,tsrɛng,二,開,莊（照二）,耕,190.02,tsr-,-eang,A,tsreang,tṣɛŋ
邃,,至,去,雖遂,swijH,三,合,心,脂,350.48,,,,,
識,,職,入,賞職,syik,三,開,書（審三）,蒸,525.37,sy-,-ik,D,syik,śjək
識,,志,去,職吏,tsyiH,三,開,章（照三）,之,356.27,tsy-,-i,C,tsyiH,tśiᶜ
座,,過,去,徂卧,dzwaH,一,合,從,戈,420.51,dz-,-wa,C,dzwaH,
憐,先,先,平,落賢,len,四,開,來,先,134.18,l-,-en,A,len,lien
志,,志,去,職吏,tsyiH,三,開,章（照三）,之,356.21,tsy-,-i,C,tsyiH,tśiᶜ
作,,箇,去,則箇,tsaH,一,開,精,歌,419.19,ts-,-ak,D,tsak,tsâk
作,,鐸,入,則落,tsak,一,開,精,唐,506.11,ts-,-u,C,tsuH,
作,,暮,去,臧祚,tsuH,一,開,精,模,370.22,,,,,
