Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
楢,尤,尤,平,以周,yuw,三,開,以（喻四）,尤,204.43,,,,,
淹,鹽,鹽,平,央炎,ʔjem (III),三,開,影,鹽,227.21,-,-jem,A,jem,Ɂjäm 3
淹,,梵,去,於劔,ʔjæmH,三,開,影,凡,446.25,,,,,
瘳,尤,尤,平,丑鳩,trhjuw,三,開,徹,尤,206.07,trh-,-juw,A,trhjuw,"ṭʰjəu,lieu"
嫫,模,模,平,莫胡,mu,一,開,明,模,80.39,,,,,
箑,,葉,入,山輒,srjep,三,開,生（審二）,鹽,540.55,,,,,
箑,,洽,入,山洽,srɛp,二,開,生（審二）,咸,544.06,,,,,
馳,支,支,平,直離,drje,三,開,澄,支,49.22,dr-,-je,A,drje,
際,祭,祭,去,子例,tsjejH,三,開,精,,375.07,ts-,-jej,C,tsjejH,tsjäiᶜ
嘼,,宥,去,許救,xjuwH,三,開,曉,尤,435.28,,,,,
懸,先,先,平,胡涓,hwen,四,合,匣,先,136.29,h-,-wen,A,hwen,
獫,鹽,鹽,平,力鹽,ljem,三,開,來,鹽,225.35,,,,,
獫,,豔,去,力驗,ljemH,三,開,來,鹽,444.08,,,,,
獫,,琰,上,良冉,ljemX,三,開,來,鹽,333.37,,,,,
獫,,琰,上,虚檢,xjemX (III),三,開,曉,鹽,333.46,,,,,
狠,,,,,,,,,,,,,,,
杓,,藥,入,市若,dzyak,三,開,常（禪三）,陽,502.41,dzy-,-jak,D,dzyak,
杓,宵,宵,平,撫招,phjiew (IV),三,開,滂,宵,151.16,,,,,
杓,宵,宵,平,甫遙,pjiew (IV),三,開,幫,宵,149.32,,,,,
杓,,錫,入,都歷,tek,四,開,端,青,521.56,,,,,
統,,宋,去,他綜,thowngH,一,開,透,冬,344.22,,,,,
拊,,麌,上,芳武,phjuX,三,開,滂,虞,262.29,,,,,pʰjuᴮ
𩭝,,,,,,,,,,,,,,,
抝,,,,,,,,,,,,,,,
曚,,董,上,莫孔,muwngX,一,開,明,東,236.11,,,,,
螙,,暮,去,當故,tuH,一,開,端,模,368.18,,,,,
扎,,黠,入,側八,tsrɛt,二,開,莊（照二）,山,488.05,,,,,
悍,,翰,去,侯旰,hanH,一,開,匣,寒,400.28,,,,,
暠,,晧,上,古老,kawX,一,開,見,豪,302.54,,,,,kâuᴮ
臬,,屑,入,五結,nget,四,開,疑,先,494.47,,,,,ŋjät 3
淼,,小,上,亡沼,mjiewX (IV),三,開,明,宵,298.24,,,,,
邂,,卦,去,胡懈,hɛɨH,二,開,匣,佳,383.44,h-,-ea,C,heaH,
洚,冬,冬,平,戸冬,howng,一,開,匣,冬,33.36,,,,,"Ɣuoŋ,guŋ,gåŋ,kåŋᶜ"
洚,東,東,平,戸公,huwng,一,開,匣,東,30.46,,,,,
洚,江,江,平,下江,hæwng,二,開,匣,江,39.38,,,,,
洚,,絳,去,古巷,kæwngH,二,開,見,江,345.34,,,,,
拿,,,,,,,,,,,,,,,
邉,,,,,,,,,,,,,,,
耼,,,,,,,,,,,,,,,
侔,尤,尤,平,莫浮,mjuw,三,開,明,尤,211.35,,,,,"mjəu,məu"
㥄,蒸,蒸,平,力膺,ling,三,開,來,蒸,199.05,,,,,
蜆,,銑,上,胡典,henX,四,開,匣,先,289.13,,,,,
蜆,,霰,去,苦甸,khenH,四,開,溪,先,408.04,,,,,
蜆,,銑,上,呼典,xenX,四,開,曉,先,289.23,,,,,
㑻,,黠,入,莫八,mɛt,二,開,明,山,489.43,,,,,
篠,,篠,上,先鳥,sewX,四,開,心,蕭,295.24,,,,,
威,微,微,平,於非,ʔwjɨj,三,合,影,微,64.47,-,-jw+j,A,jw+j,Ɂjwei
淬,,隊,去,七内,tshwojH,一,合,清,灰,388.26,tsh-,-woj,C,tshwojH,tsʰuậiᶜ
滃,,董,上,烏孔,ʔuwngX,一,開,影,東,236.43,,,,,
㼚,,,,,,,,,,,,,,,
蚋,,,,,,,,,,,,,,,
訂,,迥,上,徒鼎,dengX,四,開,定,青,319.58,,,,,
訂,,徑,去,丁定,tengH,四,開,端,青,432.11,,,,,
訂,青,青,平,他丁,theng,四,開,透,青,197.13,,,,,
粻,陽,陽,平,陟良,trjang,三,開,知,陽,174.24,,,,,ṭjaŋ
獱,真,真,平,符眞,bjin (IV),三,開,並,真,105.04,,,,,
脽,脂,脂,平,視隹,dzywij,三,合,常（禪三）,脂,57.37,,,,,
爹,,哿,上,徒可,daX,一,開,定,歌,304.17,,,,,
爹,麻,麻,平,陟邪,trjæ,三,開,知,麻,169.50,,,,,
擉,,覺,入,測角,tsrhæwk,二,開,初（穿二）,江,467.48,,,,,
㕭,肴,肴,平,於交,ʔæw,二,開,影,肴,154.37,,,,,
「,,,,,,,,,,,,,,,
鍜,麻,麻,平,胡加,hæ,二,開,匣,麻,167.05,,,,,
朐,,,,,,,,,,,,,,,
肜,東,東,平,以戎,yuwng,三,開,以（喻四）,東,26.04,y-,-juwng,A,yuwng,
朽,,有,上,許久,xjuwX,三,開,曉,尤,322.13,x-,-juw,B,xjuwX,xjəuᴮ
䑳,真,諄,平,力迍,lwin,三,合,來,諄,107.32,,,,,
鈸,,末,入,蒲撥,bat,一,開,並,桓,487.42,,,,,
鑑,銜,銜,平,谷銜,kæm,二,開,見,銜,231.17,,,,,Ɣamᶜ
鑑,,鑑,去,格懺,kæmH,二,開,見,銜,445.33,,,,,
鹽,鹽,鹽,平,余廉,yem,三,開,以（喻四）,鹽,225.08,y-,-jem,A,yem,jiämᶜ
鹽,,豔,去,以贍,yemH,三,開,以（喻四）,鹽,443.36,y-,-jem,C,yemH,jiäm
騭,,質,入,之日,tsyit,三,開,章（照三）,真,468.04,,,,,
潮,宵,宵,平,直遙,drjew,三,開,澄,宵,147.17,dr-,-jew,A,drjew,
輥,,混,上,古本,kwonX,一,合,見,魂,282.55,,,,,
必,,質,入,卑吉,pjit (IV),三,開,幫,真,470.56,p-,-jit,D,pjit,pjiet 4
醿,支,支,平,靡爲,mje (III),三,開,明,支,42.33,,,,,
潢,唐,唐,平,胡光,hwang,一,合,匣,唐,181.18,,,,,ɣuâŋ
潢,,宕,去,乎曠,hwangH,一,合,匣,唐,428.39,,,,,
甪,,,,,,,,,,,,,,,
珀,,陌,入,普伯,phæk,二,開,滂,庚,511.56,,,,,
闍,麻,麻,平,視遮,dzyæ,三,開,常（禪三）,麻,168.47,,,,,
闍,模,模,平,當孤,tu,一,開,端,模,86.20,,,,,
螃,唐,唐,平,步光,bang,一,開,並,唐,183.26,,,,,
螃,,宕,去,補曠,pangH,一,開,幫,唐,428.17,,,,,
螃,,蕩,上,北朗,pangX,一,開,幫,唐,313.48,,,,,
爺,,,,,,,,,,,,,,,
箏,耕,耕,平,側莖,tsrɛng,二,開,莊（照二）,耕,190.03,,,,,
滹,模,模,平,荒烏,xu,一,開,曉,模,83.25,,,,,
倣,,養,上,分网,pjangX,三,開,幫,陽,313.03,,,,,
舶,,陌,入,傍陌,bæk,二,開,並,庚,510.26,,,,,
蓖,齊,齊,平,邊兮,pej,四,開,幫,齊,88.58,,,,,
酊,,迥,上,都挺,tengX,四,開,端,青,319.42,,,,,tieŋᴮ
羞,尤,尤,平,息流,sjuw,三,開,心,尤,205.45,s-,-juw,A,sjuw,sjəu
羞,,,,,,,,,,,,,,,sjəu
茌,,,,,,,,,,,,,,,
抒,,語,上,徐吕,zjoX,三,開,邪,魚,259.25,zy-,-jo,B,zyoX,dźjwoᴮ
抒,,語,上,神與,zyoX,三,開,船（牀三）,魚,259.37,,,,,
翌,,職,入,與職,yik,三,開,以（喻四）,蒸,527.02,y-,-ik,D,yik,
翌,,,,,,,,,,,y-,-ik,D,yik,
綦,之,之,平,渠之,gi,三,開,群,之,60.05,g-,-i,A,gi,
綦,,,,,,,,,,,g-,-i,A,gi,
綦,,,,,,,,,,,g-,-i,C,giH,
觰,麻,麻,平,陟加,træ,二,開,知,麻,169.31,,,,,
觰,,馬,上,都賈,træX,二,開,知,麻,309.42,,,,,
𣙙,,,,,,,,,,,,,,,
𦾾,,,,,,,,,,,,,,,
獸,,宥,去,舒救,syuwH,三,開,書（審三）,尤,435.17,sy-,-juw,C,syuwH,śjəuᶜ
拖,,箇,去,吐邏,thaH,一,開,透,歌,420.05,,,,,
諠,元,元,平,況袁,xwjon,三,合,曉,元,115.06,,,,,
黶,,琰,上,於琰,ʔjiemX (IV),三,開,影,鹽,334.22,,,,,Ɂjiämᴮ 4
紗,麻,麻,平,所加,sræ,二,開,生（審二）,麻,168.05,,,,,
輴,真,諄,平,丑倫,trhwin,三,合,徹,諄,106.42,trh-,-win,A,trhwin,
逆,,陌,入,宜戟,ngjæk,三,開,疑,庚,511.30,ng-,-jaek,D,ngjaek,ŋjɐk
餅,,靜,上,必郢,pjiengX,三,開,幫,清,318.29,,,,,
努,,姥,上,奴古,nuX,一,開,泥,模,267.14,,,,,nuoᴮ
嵸,東,東,平,子紅,tsuwng,一,開,精,東,31.48,,,,,
嵸,,董,上,作孔,tsuwngX,一,開,精,東,236.25,,,,,
削,,藥,入,息約,sjak,三,開,心,陽,503.01,s-,-jew,C,sjewH,"sjak,sjäuᶜ"
銭,,,,,,,,,,,,,,,
韣,,屋,入,徒谷,duwk,一,開,定,東,449.18,,,,,
韣,,燭,入,市玉,dzyowk,三,開,常（禪三）,鍾,461.45,,,,,
韣,,燭,入,之欲,tsyowk,三,開,章（照三）,鍾,461.16,,,,,
瀋,,寢,上,昌枕,tsyhimX,三,開,昌（穿三）,侵,329.21,tsyh-,-im,B,tsyhimX,
汴,,線,去,皮變,bjenH (III),三,開,並,仙,411.10,,,,,
櫑,灰,灰,平,魯回,lwoj,一,合,來,灰,97.17,,,,,
櫑,,賄,上,落猥,lwojX,一,合,來,灰,272.21,,,,,
絙,寒(+w),桓,平,胡官,hwan,一,合,匣,桓,123.44,,,,,
絙,登,登,平,古恒,kong,一,開,見,登,202.17,,,,,
逯,,燭,入,力玉,ljowk,三,開,來,鍾,462.47,,,,,
僶,,軫,上,武盡,mjinX (IV),三,開,明,真,277.09,,,,,
芾,泰,泰,去,愽蓋,pajH,一,開,幫,,381.11,,,,,
芾,,物,入,分勿,pjut,三,開,幫,文,475.18,,,,,
芾,,未,去,方味,pjɨjH,三,開,幫,微,359.24,,,,,
寅,脂,脂,平,以脂,yij,三,開,以（喻四）,脂,51.12,y-,-ij,A,yij,
寅,真,真,平,翼眞,yin,三,開,以（喻四）,真,104.22,y-,-in,A,yin,
犴,寒(-w),寒,平,俄寒,ngan,一,開,疑,寒,121.11,,,,,ŋânᶜ
犴,,翰,去,五旰,nganH,一,開,疑,寒,401.36,,,,,
𩾧,,,,,,,,,,,,,,,
閏,,稕,去,如順,nywinH,三,合,日,諄,395.26,,,,,ńźjuenᶜ
薛,,薛,入,私列,sjet,三,開,心,仙,496.25,,,,,
𡾲,,,,,,,,,,,,,,,
籧,魚,魚,平,強魚,gjo,三,開,群,魚,67.20,,,,,
擡,咍,咍,平,徒哀,doj,一,開,定,咍,99.12,,,,,
澌,,寘,去,斯義,sjeH,三,開,心,支,346.37,,,,,
譈,,隊,去,徒對,dwojH,一,合,定,灰,387.29,,,,,
,,,,,,,,,,,,,,,
说,,,,,,,,,,,,,,,
俄,歌,歌,平,五何,nga,一,開,疑,歌,160.36,,,,,ʅŋâɿ
卍,,,,,,,,,,,,,,,
鵅,,陌,入,古伯,kæk,二,開,見,庚,512.15,,,,,
鵅,,鐸,入,盧各,lak,一,開,來,唐,505.39,,,,,
硏,,,,,,,,,,,ng-,-en,A,ngen,
硏,,,,,,,,,,,ng-,-en,C,ngenH,
鄔,,御,去,依倨,ʔjoH,三,開,影,魚,362.46,,,,,
鄔,模,模,平,哀都,ʔu,一,開,影,模,85.19,,,,,
鄔,,姥,上,安古,ʔuX,一,開,影,模,267.01,,,,,
垤,,屑,入,徒結,det,四,開,定,先,493.15,d-,-et,D,det,diet
訥,,沒,入,内骨,nwot,一,合,泥,魂,482.15,n-,-wot,D,nwot,
肘,,有,上,陟柳,trjuwX,三,開,知,尤,322.09,tr-,-juw,B,trjuwX,ṭjəuᴮ
倩,,霰,去,倉甸,tshenH,四,開,清,先,406.37,,,,,
倩,,勁,去,七政,tshjiengH,三,開,清,清,430.34,,,,,
炱,咍,咍,平,徒哀,doj,一,開,定,咍,99.15,,,,,
漰,登,登,平,普朋,phong,一,開,滂,登,202.22,,,,,
巿,,物,入,分勿,pjut,三,開,幫,文,475.19,,,,,
瑿,,,,,,,,,,,,,,,
翬,微,微,平,許歸,xwjɨj,三,合,曉,微,63.43,,,,,
浄,,,,,,,,,,,,,,,
窅,,篠,上,烏皎,ʔewX,四,開,影,蕭,296.21,,,,,
窅,肴,肴,平,於交,ʔæw,二,開,影,肴,154.39,,,,,
煤,灰,灰,平,莫杯,mwoj,一,合,明,灰,96.44,,,,,muậi
代,,代,去,徒耐,dojH,一,開,定,咍,389.35,d-,-oj,C,dojH,dậiᶜ
『,,,,,,,,,,,,,,,
右,,宥,去,于救,hjuwH,三,開,云（喻三）,尤,434.22,h-,-juw,C,hjuwH,"jəuᴮ,jəuᶜ"
右,,有,上,云久,hjuwX,三,開,云（喻三）,尤,321.08,h-,-juw,B,hjuwX,
雰,文,文,平,撫文,phjun,三,開,滂,文,112.12,,,,,
垝,,寘,去,詭僞,kwjeH (III),三,合,見,支,346.43,,,,,
垝,,紙,上,過委,kwjeX (III),三,合,見,支,242.08,,,,,
黧,齊,齊,平,郎奚,lej,四,開,來,齊,87.07,,,,,
刾,,,,,,,,,,,,,,,
蔫,仙,仙,平,於乾,ʔjen (III),三,開,影,仙,143.33,,,,,Ɂjän 3
蔫,元,元,平,謁言,ʔjon,三,開,影,元,115.56,,,,,
睢,脂,脂,平,息遺,swij,三,合,心,脂,56.23,,,,,
睢,支,支,平,許規,xwjie (IV),三,合,曉,支,42.39,,,,,
睢,脂,脂,平,許維,xwjij (IV),三,合,曉,脂,58.11,,,,,
睢,,至,去,香季,xwjijH (IV),三,合,曉,脂,355.14,,,,,
歏,,震,去,渠遴,ginH (III),三,開,群,真,394.10,,,,,
選,,線,去,息眷,swjenH,三,合,心,仙,411.29,s-,-jwen,B,sjwenX,
選,,獮,上,思兖,swjenX,三,合,心,仙,294.38,,,,,
嬖,,霽,去,博計,pejH,四,開,幫,齊,373.42,p-,-ej,C,pejH,pieiᶜ
孕,,證,去,以證,yingH,三,開,以（喻四）,蒸,432.41,y-,-ing,C,yingH,jiəŋᶜ
熏,文,文,平,許云,xjun,三,開,曉,文,111.29,x-,-jun,A,xjun,
慅,豪,豪,平,蘇遭,saw,一,開,心,豪,157.14,,,,,
慅,,晧,上,采老,tshawX,一,開,清,豪,302.34,,,,,
霅,,狎,入,胡甲,hæp,二,開,匣,銜,544.22,,,,,
霅,,合,入,蘇合,sop,一,開,心,覃,535.03,,,,,
霅,,狎,入,丈甲,træp,二,開,知,銜,544.34,,,,,
霅,,葉,入,之涉,tsyep,三,開,章（照三）,鹽,540.10,,,,,
潀,冬,冬,平,藏宗,dzowng,一,開,從,冬,33.13,,,,,
潀,東,東,平,徂紅,dzuwng,一,開,從,東,31.04,,,,,
潀,東,東,平,職戎,tsyuwng,三,開,章（照三）,東,25.02,,,,,
瑽,鍾,鍾,平,七恭,tshjowng,三,開,清,鍾,38.21,,,,,
趢,,燭,入,力玉,ljowk,三,開,來,鍾,463.04,,,,,
趢,,屋,入,盧谷,luwk,一,開,來,東,451.30,,,,,
尸,脂,脂,平,式之,syij,三,開,書（審三）,脂,54.16,sy-,-ij,A,syij,śi
灾,咍,咍,平,祖才,tsoj,一,開,精,咍,100.25,ts-,-oj,A,tsoj,
跂,支,支,平,巨支,gjie (IV),三,開,群,支,44.21,,,,,
跂,,紙,上,丘弭,khjeX (III),三,開,溪,支,247.01,,,,,
跂,,寘,去,去智,khjieH (IV),三,開,溪,支,348.32,,,,,
糒,,至,去,平祕,bijH (III),三,開,並,脂,352.02,,,,,
䇹,文,文,平,舉云,kjun,三,開,見,文,111.41,,,,,
宦,,諫,去,胡慣,hwænH,二,合,匣,刪,405.32,h-,-waen,C,hwaenH,Ɣuanᶜ
敻,,霰,去,許縣,xwenH,四,合,曉,先,406.48,,,,,
敻,,勁,去,休正,xwjiengH,三,合,曉,清,431.13,,,,,
筵,仙,仙,平,以然,yen,三,開,以（喻四）,仙,137.34,y-,-jen,A,yen,
擾,,小,上,而沼,nyewX,三,開,日,宵,297.30,,,,,ńźjäuᴮ
鍾,鍾,鍾,平,職容,tsyowng,三,開,章（照三）,鍾,34.01,tsy-,-jowng,A,tsyowng,
鍾,,,,,,,,,,,tsy-,-jowng,A,tsyowng,
霙,陽,陽,平,於良,ʔjang,三,開,影,陽,177.32,,,,,
霙,庚,庚,平,於驚,ʔjæng,三,開,影,庚,185.31,,,,,
迓,,禡,去,吾駕,ngæH,二,開,疑,麻,422.05,ng-,-ae,C,ngaeH,
烏,模,模,平,哀都,ʔu,一,開,影,模,85.06,-,-u,A,u,Ɂuo
烏,,,,,,,,,,,-,-u,A,u,
恓,,,,,,,,,,,,,,,
㙺,,,,,,,,,,,,,,,
𪅏,,,,,,,,,,,,,,,
嗛,,忝,上,苦簟,khemX,四,開,溪,添,336.02,,,,,"kʰiemᴮ,Ɣiemᴮ"
托,,,,,,,,,,,,,,,
祀,,止,上,詳里,ziX,三,開,邪,之,251.28,z-,-i,B,ziX,
狙,魚,魚,平,七余,tshjo,三,開,清,魚,68.43,,,,,
億,,職,入,於力,ʔik,三,開,影,蒸,526.15,-,-ik,D,ik,
怔,清,清,平,諸盈,tsyieng,三,開,章（照三）,清,192.19,,,,,
荇,,梗,上,何梗,hængX,二,開,匣,庚,316.48,h-,-aeng,B,haengX,
皸,文,文,平,舉云,kjun,三,開,見,文,111.39,,,,,
皸,,問,去,居運,kjunH,三,開,見,文,396.39,,,,,
贐,,,,,,,,,,,,,,,
筌,仙,仙,平,此緣,tshwjen,三,合,清,仙,141.45,,,,,
肩,先,先,平,古賢,ken,四,開,見,先,133.25,k-,-en,A,ken,kien
紆,虞,虞,平,憶俱,ʔju,三,開,影,虞,79.54,-,-ju,A,ju,
鵒,,燭,入,余蜀,yowk,三,開,以（喻四）,鍾,462.29,,,,,
鉞,,月,入,王伐,hwjot,三,合,云（喻三）,元,478.04,h-,-jwot,D,hjwot,
叛,,換,去,薄半,banH,一,開,並,桓,404.42,,,,,
僸,,沁,去,居蔭,kimH (III),三,開,見,侵,441.06,,,,,
僸,,寢,上,牛錦,ngimX (III),三,開,疑,侵,329.32,,,,,
補,,姥,上,博古,puX,一,開,幫,模,268.03,p-,-u,B,puX,puoᴮ
困,,慁,去,苦悶,khwonH,一,合,溪,魂,399.18,kh-,-won,C,khwonH,kʰuənᶜ
困,,,,,,,,,,,,,,,kʰuənᶜ
響,,養,上,許兩,xjangX,三,開,曉,陽,311.39,x-,-jang,B,xjangX,xjaŋᴮ
徘,灰,灰,平,薄回,bwoj,一,合,並,灰,98.11,,,,,
蹰,,,,,,,,,,,,,,,
蠁,,漾,去,許亮,xjangH,三,開,曉,陽,425.32,,,,,
蠁,,養,上,許兩,xjangX,三,開,曉,陽,311.41,,,,,
邪,麻,麻,平,以遮,yæ,三,開,以（喻四）,麻,165.05,z-,-jae,A,zjae,jia
邪,麻,麻,平,似嗟,zjæ,三,開,邪,麻,168.45,z-,-jo,A,zjo,
邪,,,,,,,,,,,y-,-jae,A,yae,
澳,,号,去,烏到,ʔawH,一,開,影,豪,418.39,-,-aw,C,awH,
澳,,屋,入,於六,ʔjuwk,三,開,影,東,458.15,,,,,
𭲟,,,,,,,,,,,,,,,
䟐,,錫,入,郎擊,lek,四,開,來,青,520.38,,,,,
幘,,麥,入,側革,tsrɛk,二,開,莊（照二）,耕,514.15,,,,,
鎰,,質,入,夷質,yit,三,開,以（喻四）,真,469.29,y-,-it,D,yit,
攃,,曷,入,桑割,sat,一,開,心,寒,484.39,,,,,
攃,,曷,入,七曷,tshat,一,開,清,寒,484.43,,,,,
拾,,緝,入,是執,dzyip,三,開,常（禪三）,侵,531.18,dzy-,-ip,D,dzyip,źjəp
舵,,哿,上,徒可,daX,一,開,定,歌,304.19,d-,-a,B,daX,dâᴮ
旰,,翰,去,古案,kanH,一,開,見,寒,401.24,,,,,
甕,,送,去,烏貢,ʔuwngH,一,開,影,東,343.03,-,-uwng,C,uwngH,
繾,,線,去,去戰,khjienH (IV),三,開,溪,仙,409.36,,,,,
繾,,獮,上,去演,khjienX (IV),三,開,溪,仙,291.35,,,,,
彤,冬,冬,平,徒冬,downg,一,開,定,冬,32.37,d-,-owng,A,downg,duoŋ
跛,,果,上,布火,paX,一,開,幫,戈,307.04,p-,-a,B,paX,puâᴮ
跛,,寘,去,彼義,pjeH (III),三,開,幫,支,347.05,,,,,
眄,,霰,去,莫甸,menH,四,開,明,先,408.37,m-,-en,B,menX,
眄,,銑,上,彌殄,menX,四,開,明,先,289.29,,,,,
羾,,送,去,古送,kuwngH,一,開,見,東,342.10,,,,,
窰,宵,宵,平,餘昭,yew,三,開,以（喻四）,宵,148.30,y-,-jew,A,yew,
抔,侯,侯,平,薄侯,buw,一,開,並,侯,215.29,,,,,
抔,灰,灰,平,芳杯,phwoj,一,合,滂,灰,98.32,,,,,
飚,,,,,,,,,,,,,,,
亷,,,,,,,,,,,,,,,
伇,,,,,,,,,,,,,,,
饎,,志,去,昌志,tsyhiH,三,開,昌（穿三）,之,358.20,,,,,
罫,,,,,,,,,,,,,,,
婬,侵,侵,平,餘針,yim,三,開,以（喻四）,侵,218.26,,,,,
儲,魚,魚,平,直魚,drjo,三,開,澄,魚,70.26,,,,,ḍjwo
崖,支,支,平,魚羈,ngje (III),三,開,疑,支,45.14,ng-,-ea,A,ngea,
崖,佳,佳,平,五佳,ngɛɨ,二,開,疑,佳,93.54,,,,,
逋,模,模,平,博孤,pu,一,開,幫,模,85.27,,,,,puo
酩,,迥,上,莫迥,mengX,四,開,明,青,319.30,,,,,
嫌,添,添,平,戸兼,hem,四,開,匣,添,229.14,h-,-em,A,hem,
懇,,很,上,康很,khonX,一,開,溪,痕,283.33,,,,,
榾,,沒,入,古忽,kwot,一,合,見,魂,480.12,,,,,
漉,,屋,入,盧谷,luwk,一,開,來,東,450.41,,,,,
怛,,曷,入,當割,tat,一,開,端,寒,483.15,,,,,
擠,齊,齊,平,祖稽,tsej,四,開,精,齊,91.17,,,,,tsieiᴮ
擠,,霽,去,子計,tsejH,四,開,精,齊,370.27,,,,,
樀,,錫,入,徒歷,dek,四,開,定,青,522.25,,,,,
樀,,錫,入,都歷,tek,四,開,端,青,521.45,,,,,
泿,真,真,平,語巾,ngin (III),三,開,疑,真,105.26,,,,,
泿,痕,痕,平,五根,ngon,一,開,疑,痕,120.36,,,,,
骦,,,,,,,,,,,,,,,
塲,陽,陽,平,式羊,syang,三,開,書（審三）,陽,173.04,,,,,
㲚,麻,麻,平,所加,sræ,二,開,生（審二）,麻,168.03,,,,,
退,,隊,去,他内,thwojH,一,合,透,灰,388.40,th-,-woj,C,thwojH,tʰuậiᶜ
䶪,,,,,,,,,,,,,,,
撦,,馬,上,昌者,tsyhæX,三,開,昌（穿三）,麻,309.49,,,,,
嚮,,漾,去,許亮,xjangH,三,開,曉,陽,425.35,x-,-jang,C,xjangH,
嚮,,養,上,許兩,xjangX,三,開,曉,陽,311.45,,,,,
奫,真,真,平,於倫,ʔwin (III),三,合,影,真,106.14,,,,,
熂,,未,去,許旣,xjɨjH,三,開,曉,微,361.29,,,,,
渕,,,,,,,,,,,,,,,
衩,,卦,去,楚懈,tsrhɛɨH,二,開,初（穿二）,佳,384.02,,,,,
沙,麻,麻,平,所加,sræ,二,開,生（審二）,麻,167.51,sr-,-ae,A,srae,ṣa
沙,,禡,去,所嫁,sræH,二,開,生（審二）,麻,424.18,,,,,
𥒘,,,,,,,,,,,,,,,
狗,,厚,上,古厚,kuwX,一,開,見,侯,326.18,k-,-uw,B,kuwX,kəuᴮ
怜,先,先,平,落賢,len,四,開,來,先,134.19,,,,,lieŋ
怜,青,青,平,郎丁,leng,四,開,來,青,196.42,,,,,
框,陽,陽,平,去王,khwjang,三,合,溪,陽,177.13,,,,,
雌,支,支,平,此移,tshje,三,開,清,支,48.53,,,,,tsʰje
礒,,紙,上,魚倚,ngjeX (III),三,開,疑,支,243.20,,,,,
𬄭,,,,,,,,,,,,,,,
拪,,,,,,,,,,,,,,,
畤,,止,上,直里,driX,三,開,澄,之,253.09,,,,,
畤,,止,上,時止,dzyiX,三,開,常（禪三）,之,251.08,,,,,
畤,,止,上,諸市,tsyiX,三,開,章（照三）,之,250.39,,,,,
聾,東,東,平,盧紅,luwng,一,開,來,東,30.15,l-,-uwng,A,luwng,luŋ
櫓,,姥,上,郎古,luX,一,開,來,模,265.10,l-,-u,B,luX,luoᴮ
瀴,,迥,上,莫迥,mengX,四,開,明,青,319.31,,,,,
瀴,,迥,上,烟涬,ʔengX,四,開,影,青,320.41,,,,,
瀴,,映,去,於孟,ʔængH,二,開,影,庚,430.02,,,,,
衙,魚,魚,平,語居,ngjo,三,開,疑,魚,66.24,,,,,
衙,,語,上,魚巨,ngjoX,三,開,疑,魚,256.11,,,,,
衙,麻,麻,平,五加,ngæ,二,開,疑,麻,168.10,,,,,
筠,真,真,平,爲贇,hwin (III),三,合,云（喻三）,真,105.34,h-,-win,A,hwin,
䃜,,,,,,,,,,,,,,,
淇,之,之,平,渠之,gi,三,開,群,之,60.14,,,,,
遵,真,諄,平,將倫,tswin,三,合,精,諄,108.07,ts-,-win,A,tswin,
涉,,葉,入,時攝,dzyep,三,開,常（禪三）,鹽,538.50,,,,,źjäp
涉,,帖,入,丁愜,tep,四,開,端,添,542.52,,,,,
槨,,鐸,入,古博,kwak,一,合,見,唐,509.17,k-,-wak,D,kwak,
覆,,宥,去,扶富,bjuwH,三,開,並,尤,436.50,ph-,-juwk,D,phjuwk,pʰjuk
覆,,宥,去,敷救,phjuwH,三,開,滂,尤,435.49,,,,,pʰjəuᶜ
覆,,屋,入,芳福,phjuwk,三,開,滂,東,457.45,,,,,
覆,,德,入,匹北,phok,一,開,滂,登,531.05,,,,,
均,真,諄,平,居勻,kwjin (IV),三,合,見,諄,108.33,k-,-jwin,A,kjwin,
均,,,,,,,,,,,h-,-win,C,hwinH,
聃,談,談,平,他酣,tham,一,開,透,談,224.30,,,,,
佗,歌,歌,平,徒河,da,一,開,定,歌,160.10,,,,,
佗,歌,歌,平,託何,tha,一,開,透,歌,160.43,,,,,
儜,耕,耕,平,女耕,nrɛng,二,開,娘,耕,189.10,,,,,
丷,,,,,,,,,,,,,,,
浻,,,,,,,,,,,,,,,
船,仙,仙,平,食川,zywen,三,合,船（牀三）,仙,141.28,zy-,-jwen,A,zywen,dźjwän
氄,,腫,上,而隴,nyowngX,三,開,日,冬鍾,238.10,,,,,ńźjwoŋᴮ
甑,,證,去,子孕,tsingH,三,開,精,蒸,433.11,ts-,-ing,C,tsingH,tsjəŋ
爀,,陌,入,呼格,xæk,二,開,曉,庚,512.01,,,,,
苕,蕭,蕭,平,徒聊,dew,四,開,定,蕭,145.07,,,,,
雜,,合,入,徂合,dzop,一,開,從,覃,535.49,dz-,-op,D,dzop,dzəp
妷,,質,入,直一,drit,三,開,澄,真,468.26,,,,,
埴,,職,入,常職,dzyik,三,開,常（禪三）,蒸,525.33,dzy-,-ik,D,dzyik,
埴,,志,去,昌志,tsyhiH,三,開,昌（穿三）,之,358.26,,,,,
窞,,感,上,徒感,domX,一,開,定,覃,330.23,d-,-om,B,domX,dậmᴮ
焙,,,,,,,,,,,,,,,
